NYCHA PROPERTY DIRECTORY,,,,,,,BRONX
BLOCK and LOT GUIDE,,,,,,,
BLOCK,LOT,ADDRESS,ZIP CODE,DEVELOPMENT,MANAGED BY,CD#,FACILITY
2420,174,,,MORRISANIA AIR RIGHTS,MORRISANIA AIR RIGHTS,,DEVELOPMENT GROUNDS
2420,9020,,,MORRISANIA AIR RIGHTS,MORRISANIA AIR RIGHTS,,AIR RIGHTS
2420,90203071 PARK AVENUE,,10451,MORRISANIA AIR RIGHTS,MORRISANIA AIR RIGHTS,,4CARPENTERS STORAGE
2420,90203073 PARK AVENUE,,10451,MORRISANIA AIR RIGHTS,MORRISANIA AIR RIGHTS,,4BULK STORAGE ROOM/ JANITORIAL
,,,,,,,STORAGE ROOM/ MAIN
,,,,,,,STOREROOM/ MAINTENANCE SHOP
2420,9039,,,MORRISANIA AIR RIGHTS,MORRISANIA AIR RIGHTS,,AIR RIGHTS
2420,9078,,,MORRISANIA AIR RIGHTS,MORRISANIA AIR RIGHTS,,AIR RIGHTS
2420,90783115 PARK AVENUE,,10451,MORRISANIA AIR RIGHTS,MORRISANIA AIR RIGHTS,4,
2420,90783125 PARK AVENUE,,10451,MORRISANIA AIR RIGHTS,MORRISANIA AIR RIGHTS,,4BOILER
2420,90783131 PARK AVENUE,,10451,MORRISANIA AIR RIGHTS,MORRISANIA AIR RIGHTS,,4COMMUNITY OPERATIONS SPACE
,,,,,,,(VACANT)
2420,90783135 PARK AVENUE,,10451,MORRISANIA AIR RIGHTS,MORRISANIA AIR RIGHTS,,4SENIOR CENTER/ COMMUNITY
,,,,,,,OPERATIONS SPACE (VACANT)
2420,90783145 PARK AVENUE,,10451,MORRISANIA AIR RIGHTS,MORRISANIA AIR RIGHTS,,4DEVELOPMENT MANAGEMENT
,,,,,,,OFFICE
2420,9172,,,MORRISANIA AIR RIGHTS,MORRISANIA AIR RIGHTS,,AIR RIGHTS
2420,9878,,,MORRISANIA AIR RIGHTS,MORRISANIA AIR RIGHTS,,AIR RIGHTS
2420,9978,,,MORRISANIA AIR RIGHTS,MORRISANIA AIR RIGHTS,,AIR RIGHTS
2427,,31228 CLAY AVENUE,10456,CLAREMONT REHAB (GROUP 4),CLAREMONT CONSOLIDATED,,4BOILER
2427,,41232 CLAY AVENUE,10456,CLAREMONT REHAB (GROUP 2),CLAREMONT CONSOLIDATED,4,
2427,,61236 CLAY AVENUE,10456,CLAREMONT REHAB (GROUP 2),CLAREMONT CONSOLIDATED,,4BOILER
2427,,71240 CLAY AVENUE,10456,CLAREMONT REHAB (GROUP 4),CLAREMONT CONSOLIDATED,,4BOILER
2427,,91244 CLAY AVENUE,10456,CLAREMONT REHAB (GROUP 2),CLAREMONT CONSOLIDATED,,4BOILER
2427,101248 CLAY AVENUE,,10456,CLAREMONT REHAB (GROUP 4),CLAREMONT CONSOLIDATED,,4BOILER
2427,121252 CLAY AVENUE,,10456,CLAREMONT REHAB (GROUP 4),CLAREMONT CONSOLIDATED,,4BOILER
2427,221278 CLAY AVENUE,,10456,CLAREMONT REHAB (GROUP 2),CLAREMONT CONSOLIDATED,,4COMMERCIAL SPACE (STORE #1)/
,,,,,,,BOILER
2427,221280 CLAY AVENUE,,10456,CLAREMONT REHAB (GROUP 2),CLAREMONT CONSOLIDATED,,4COMMERCIAL SPACE (STORE #2)
2428,,31046 TELLER AVENUE,10456,CLAREMONT REHAB (GROUP 4),CLAREMONT CONSOLIDATED,,4BOILER
2428,,41052 TELLER AVENUE,10456,CLAREMONT REHAB (GROUP 3),CLAREMONT CONSOLIDATED,,4DEVELOPMENT MANAGEMENT
,,,,,,,OFFICE/ BOILER
2428,,91064 TELLER AVENUE,10456,CLAREMONT REHAB (GROUP 3),CLAREMONT CONSOLIDATED,,4TENANT ASSOCIATION ROOM/
,,,,,,,BOILER
2428,121068 TELLER AVENUE,,10456,CLAREMONT REHAB (GROUP 4),CLAREMONT CONSOLIDATED,,4BOILER/ EXTERMINATOR SHOP
